"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Role'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hunter'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gloria Morrell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Acapulco Holiday""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dear John'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrs. Lacey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Homeward Bound""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991-1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Murder, She Wrote'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rebecca Kinkaid / Katie Emhardt'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Death in Hawaii"", ""Tainted Lady""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1992'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Reasonable Doubts'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carmela Kaufman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Lifelines, Pt. 1"", ""Lifelines, Pt. 2""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Armistead Maupin's Tales of the City""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frannie Halcyon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Five episodes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Missing Persons'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bernice'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""If You Could Pick Your Own Parents...""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1999'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dharma & Greg'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Beatrice'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Death & Violins""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bull'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madeleine'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eight episodes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Just Shoot Me!'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Catherine DuChamp'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""Dial \'N\' for Murder""'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2005-2006'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NCIS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrs. Victoria Mallard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episodes: ""Untouchable"", ""The Meat Puzzle""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Closer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Doris Donnelly'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Episode: ""The Round File"", (final appearance)'}"
