review_id,title,year,journal,n_studies,population,intervention,comparator,outcome,effect_size,ci_lower,ci_upper,quality_rating,database_source
SR05048,Center box help range young make ready.,2008,BMJ,14,Elderly,carbapenem,none,mortality,0.93,0.82,0.98,Low,Scopus
SR05049,Street write important provide myself company address woman.,2001,Nature,28,ICU patients,placebo,standard care,infection rate,0.91,0.78,1.21,Moderate,Ovid
SR05050,Commercial movie raise site ground company each.,2024,JAMA,26,Diabetics,carbapenem,no therapy,infection rate,1.23,1.11,1.32,High,Cochrane
SR05051,Single president machine operation.,2002,JAMA,85,ICU patients,ACE inhibitors,low dose,mortality,1.64,1.58,1.79,Low,Ovid
SR05052,By ability day new involve event.,2003,NEJM,51,Adults,behavioral therapy,cephalosporin,smoking cessation,0.68,0.52,0.93,Critically Low,PubMed
SR05053,Trial above other recently part strategy four agree.,2024,NEJM,45,Diabetics,placebo,low dose,infection rate,1.84,1.59,1.92,Critically Low,LOVE
SR05054,Five early half toward thank.,2001,Science,34,Elderly,carbapenem,standard care,weight loss,1.58,1.38,1.86,Moderate,Cochrane
SR05055,Quality modern let probably try find.,2017,NEJM,48,Children,metformin,low dose,hospitalization,1.66,1.57,1.91,Moderate,PubMed
SR05056,Himself top leave charge kid however.,2020,BMJ,100,Pregnant women,mRNA vaccine,standard care,mortality,1.77,1.66,1.89,High,Web of Science
SR05057,Safe now school someone gun wind.,2023,Lancet,53,ICU patients,placebo,none,symptom reduction,1.98,1.88,2.16,Critically Low,PubMed
SR05058,Number right entire time.,2002,Nature,85,Diabetics,ACE inhibitors,no therapy,hospitalization,0.77,0.54,0.95,Moderate,PubMed
SR05059,Until through region bring really age.,2006,Science,46,Pregnant women,behavioral therapy,standard care,mortality,1.56,1.31,1.74,Low,Embase
SR05060,Matter hope avoid current in green between sometimes.,2011,Science,13,Smokers,carbapenem,low dose,smoking cessation,1.47,1.27,1.65,Moderate,LOVE
SR05061,Team rule total at.,2008,PLOS ONE,76,Pregnant women,mRNA vaccine,cephalosporin,smoking cessation,1.97,1.92,2.26,High,Scopus
SR05062,Yard major southern military catch.,2018,Lancet,65,Elderly,carbapenem,none,symptom reduction,1.19,1.13,1.43,Critically Low,PubMed
SR05063,Answer discuss pattern evidence participant issue partner.,2017,BMJ,50,Children,statins,low dose,hospitalization,1.4,1.22,1.51,Low,Cochrane
SR05064,Student conference information environment.,2006,BMJ,45,Diabetics,behavioral therapy,placebo,weight loss,0.54,0.26,0.83,High,Ovid
SR05065,Suggest leg road someone under nice him.,2003,Science,67,Pregnant women,carbapenem,placebo,infection rate,0.74,0.54,1.0,High,Embase
SR05066,Expect bill board so something create.,2019,Science,79,ICU patients,mRNA vaccine,low dose,symptom reduction,1.32,1.08,1.49,Critically Low,Cochrane
SR05067,Ok beautiful ability kind.,2004,Nature,63,ICU patients,ACE inhibitors,none,mortality,1.49,1.41,1.55,Moderate,Embase
SR05068,Consumer see listen care speak.,2002,JAMA,56,Smokers,mRNA vaccine,placebo,mortality,0.81,0.62,1.07,High,Web of Science
SR05069,Catch good usually.,2007,PLOS ONE,42,Pregnant women,placebo,none,mortality,1.08,0.82,1.15,Critically Low,LOVE
SR05070,But step before cover expert.,2001,PLOS ONE,45,Smokers,ACE inhibitors,standard care,weight loss,1.62,1.35,1.91,Moderate,Web of Science
SR05071,Join anything situation anyone.,2023,PLOS ONE,77,Smokers,ACE inhibitors,no therapy,symptom reduction,1.87,1.63,2.0,High,Scopus
SR05072,Head natural single reveal hold should.,2000,JAMA,44,Children,placebo,cephalosporin,smoking cessation,1.75,1.48,1.86,Critically Low,Scopus
SR05073,Time hard great talk.,2022,NEJM,49,Children,statins,placebo,smoking cessation,1.21,1.06,1.28,Moderate,Cochrane
SR05074,Heavy civil into use until.,2013,NEJM,59,Children,placebo,placebo,mortality,1.53,1.42,1.79,Low,PubMed
SR05075,Successful term society available where street.,2019,Science,54,Pregnant women,behavioral therapy,low dose,weight loss,1.45,1.27,1.53,High,Web of Science
SR05076,Health none any real hold hand position.,2003,Science,23,ICU patients,carbapenem,none,infection rate,1.49,1.23,1.57,Moderate,Cochrane
SR05077,Move four bed although now get we.,2011,JAMA,38,Elderly,statins,no therapy,hospitalization,0.58,0.46,0.64,High,LOVE
SR05078,Consumer then like character whole agree.,2023,NEJM,62,Adults,metformin,none,smoking cessation,0.96,0.91,1.06,High,Scopus
SR05079,Learn month full where movement hot according world.,2014,Nature,62,Pregnant women,behavioral therapy,no therapy,symptom reduction,1.57,1.33,1.79,Low,Cochrane
SR05080,Offer more good card physical defense.,2002,Lancet,87,ICU patients,metformin,no therapy,smoking cessation,1.65,1.55,1.75,Moderate,Cochrane
SR05081,Certain specific standard sometimes throughout.,2012,Lancet,62,ICU patients,behavioral therapy,low dose,smoking cessation,0.63,0.39,0.69,Moderate,Web of Science
SR05082,A he response address program tax.,2023,NEJM,34,ICU patients,metformin,cephalosporin,infection rate,1.97,1.85,2.02,Critically Low,Web of Science
SR05083,Alone interest carry weight fly tend.,2008,Science,37,Adults,behavioral therapy,standard care,weight loss,0.56,0.43,0.71,Critically Low,Scopus
SR05084,Husband no billion treatment.,2022,Science,59,Smokers,carbapenem,no therapy,symptom reduction,0.87,0.75,1.0,Moderate,Scopus
SR05085,Special lose cold station receive first meet.,2013,BMJ,68,Children,mRNA vaccine,no therapy,symptom reduction,0.86,0.67,1.04,Critically Low,Web of Science
SR05086,Best series technology where hot production film.,2018,BMJ,31,ICU patients,behavioral therapy,placebo,symptom reduction,0.82,0.57,0.98,Low,LOVE
SR05087,Movement trial rich unit.,2019,JAMA,50,Smokers,ACE inhibitors,placebo,smoking cessation,1.13,1.04,1.19,Low,Ovid
SR05088,City ahead central yeah focus single nice bring.,2019,Science,27,Elderly,metformin,cephalosporin,mortality,1.94,1.87,2.1,Low,Ovid
SR05089,Myself baby beyond see culture letter.,2021,Nature,70,Diabetics,mRNA vaccine,cephalosporin,mortality,1.08,1.01,1.37,Low,Ovid
SR05090,Mr green interesting card.,2012,BMJ,45,Elderly,metformin,low dose,weight loss,0.97,0.79,1.12,High,Web of Science
SR05091,Itself none discover over allow ago nor.,2015,Nature,99,Diabetics,metformin,none,infection rate,1.82,1.64,2.06,Low,LOVE
SR05092,Civil only nor everybody.,2019,NEJM,63,ICU patients,placebo,none,smoking cessation,0.94,0.84,1.16,Critically Low,Cochrane
SR05093,Son yes campaign marriage trouble call require.,2024,NEJM,26,Children,statins,no therapy,weight loss,1.91,1.76,2.17,Moderate,Cochrane
SR05094,Poor for fish week walk tree.,2023,Science,84,Pregnant women,placebo,placebo,symptom reduction,1.23,1.04,1.38,Critically Low,Ovid
SR05095,Popular give kind or mission scientist.,2016,Science,26,Elderly,placebo,cephalosporin,infection rate,0.56,0.46,0.65,High,Cochrane
SR05096,Character large day some discover value adult.,2012,Nature,67,Adults,placebo,none,symptom reduction,1.78,1.48,1.87,Moderate,Web of Science
SR05097,Build strong huge soon high send least fall.,2016,BMJ,71,Pregnant women,behavioral therapy,placebo,smoking cessation,1.63,1.51,1.69,High,Ovid
SR05098,Late minute speech impact in receive.,2021,Lancet,67,Adults,statins,standard care,infection rate,1.1,0.94,1.24,High,PubMed
SR05099,Food interest represent current affect office everybody.,2013,Lancet,37,ICU patients,behavioral therapy,standard care,hospitalization,0.94,0.83,1.13,Low,Cochrane
SR05100,Under lay threat special.,2020,NEJM,17,Smokers,statins,no therapy,weight loss,1.38,1.19,1.54,Critically Low,Embase
SR05101,Address although large.,2015,Lancet,20,Children,ACE inhibitors,standard care,smoking cessation,1.33,1.05,1.41,Low,Web of Science
SR05102,Man culture population oil.,2001,BMJ,38,Pregnant women,placebo,low dose,infection rate,0.65,0.54,0.76,High,Ovid
SR05103,Road thing growth else.,2016,Lancet,54,Pregnant women,mRNA vaccine,no therapy,smoking cessation,1.7,1.65,1.99,High,Web of Science
SR05104,Especially accept send pass team.,2018,Lancet,70,Smokers,carbapenem,placebo,smoking cessation,1.96,1.84,2.03,Moderate,LOVE
SR05105,Significant start history grow challenge truth education.,2001,Science,66,Elderly,carbapenem,standard care,infection rate,0.83,0.75,0.98,Critically Low,Ovid
SR05106,Stay final bed seek perhaps think.,2015,JAMA,67,Adults,placebo,cephalosporin,infection rate,0.88,0.58,1.01,High,Web of Science
SR05107,Teacher answer common tell that people manager series.,2014,Lancet,75,Diabetics,ACE inhibitors,no therapy,weight loss,0.77,0.6,1.07,Moderate,PubMed
SR05108,Cost space explain peace.,2014,PLOS ONE,44,Pregnant women,carbapenem,standard care,weight loss,1.04,0.82,1.25,Critically Low,Cochrane
SR05109,Cultural another red major.,2012,NEJM,72,Children,ACE inhibitors,none,smoking cessation,1.69,1.41,1.8,Critically Low,Cochrane
SR05110,Food treat attention spring.,2006,Lancet,48,Elderly,carbapenem,standard care,infection rate,0.77,0.54,0.93,Low,LOVE
SR05111,Learn compare picture hear.,2016,Lancet,62,Elderly,behavioral therapy,placebo,smoking cessation,0.88,0.81,1.14,Moderate,Cochrane
SR05112,Involve even teacher air purpose spring.,2005,JAMA,81,Adults,mRNA vaccine,standard care,weight loss,1.64,1.52,1.81,High,PubMed
SR05113,Consumer thousand law.,2020,BMJ,40,ICU patients,carbapenem,no therapy,symptom reduction,1.02,0.77,1.11,High,Embase
SR05114,Believe American billion social science.,2001,Nature,92,Adults,carbapenem,cephalosporin,smoking cessation,0.56,0.48,0.65,Moderate,Ovid
SR05115,Center live science example walk television official.,2013,BMJ,77,Children,statins,standard care,symptom reduction,0.78,0.48,1.01,Critically Low,Ovid
SR05116,Several during customer structure piece dream think.,2025,BMJ,97,ICU patients,placebo,low dose,symptom reduction,1.16,0.98,1.36,Critically Low,Embase
SR05117,Card customer this air benefit follow.,2019,Nature,52,Adults,ACE inhibitors,placebo,hospitalization,0.68,0.53,0.79,Moderate,Ovid
SR05118,On president sense pretty strong senior whatever.,2002,Lancet,68,ICU patients,behavioral therapy,none,infection rate,1.41,1.28,1.57,Low,LOVE
SR05119,Feeling popular recent join somebody until.,2008,Nature,11,Pregnant women,ACE inhibitors,none,smoking cessation,1.36,1.11,1.57,Critically Low,PubMed
SR05120,Series alone stop serve score blue movement reach.,2007,Lancet,65,Elderly,behavioral therapy,placebo,hospitalization,1.87,1.73,2.0,Low,PubMed
SR05121,Half several not because course.,2007,BMJ,75,Smokers,statins,cephalosporin,mortality,1.02,0.97,1.27,Moderate,Web of Science
SR05122,Exactly easy buy foreign become.,2023,BMJ,58,Smokers,behavioral therapy,cephalosporin,smoking cessation,1.21,1.02,1.45,Critically Low,Cochrane
SR05123,My receive left key center few these.,2014,Science,27,Elderly,placebo,no therapy,smoking cessation,1.81,1.67,2.1,Critically Low,Ovid
SR05124,Example white religious.,2012,Lancet,92,Elderly,behavioral therapy,placebo,mortality,0.77,0.66,0.85,Critically Low,LOVE
SR05125,Take century free employee technology.,2024,BMJ,98,Adults,carbapenem,placebo,hospitalization,0.62,0.41,0.88,Critically Low,Cochrane
SR05126,Form listen red.,2000,BMJ,12,Elderly,statins,low dose,smoking cessation,0.96,0.71,1.14,Low,Embase
SR05127,Consider since herself structure thank.,2019,BMJ,86,Elderly,ACE inhibitors,standard care,symptom reduction,0.66,0.52,0.92,Low,Web of Science
SR05128,Example sort night dog yourself.,2024,JAMA,64,Diabetics,ACE inhibitors,low dose,infection rate,0.98,0.87,1.18,High,Embase
SR05129,Her such star.,2004,Nature,83,Pregnant women,metformin,placebo,smoking cessation,1.44,1.24,1.65,Low,LOVE
SR05130,Start year another lead worker understand organization big.,2001,Science,91,Pregnant women,metformin,low dose,symptom reduction,1.53,1.29,1.67,Moderate,Embase
SR05131,Entire any road million just key.,2005,Science,46,Elderly,behavioral therapy,cephalosporin,symptom reduction,1.05,0.94,1.3,Low,Scopus
SR05132,Trial quickly read either card course.,2001,Lancet,40,Elderly,mRNA vaccine,low dose,smoking cessation,1.46,1.32,1.57,Low,Embase
SR05133,Generation arm bad land speech page.,2012,PLOS ONE,88,Pregnant women,behavioral therapy,placebo,mortality,1.49,1.26,1.64,High,PubMed
SR05134,Professor guy look site sometimes.,2022,Lancet,58,Adults,placebo,placebo,smoking cessation,0.56,0.49,0.85,Critically Low,PubMed
SR05135,Majority either drug.,2006,NEJM,92,Elderly,placebo,none,smoking cessation,1.19,0.99,1.31,Critically Low,Scopus
SR05136,City three discover black bring church fish wind.,2004,PLOS ONE,57,Diabetics,placebo,cephalosporin,mortality,0.93,0.65,1.13,Low,Ovid
SR05137,Nation cut quite pass.,2010,BMJ,82,Diabetics,placebo,none,smoking cessation,0.77,0.64,0.94,Moderate,PubMed
SR05138,Board life Mr notice style with.,2009,PLOS ONE,79,Adults,mRNA vaccine,low dose,infection rate,0.66,0.36,0.94,Moderate,PubMed
SR05139,Together president above practice newspaper mean.,2016,JAMA,83,ICU patients,behavioral therapy,no therapy,smoking cessation,1.45,1.26,1.63,High,Scopus
SR05140,Wrong western I down blue each.,2014,BMJ,57,Adults,statins,standard care,hospitalization,1.46,1.2,1.54,Low,Web of Science
SR05141,Late though opportunity measure common.,2018,JAMA,45,Pregnant women,behavioral therapy,low dose,weight loss,1.24,0.98,1.4,Moderate,PubMed
SR05142,Need expert morning different sometimes true.,2024,JAMA,13,Children,ACE inhibitors,cephalosporin,smoking cessation,1.43,1.14,1.66,High,LOVE
SR05143,Him outside order scientist song coach.,2024,NEJM,28,Diabetics,mRNA vaccine,low dose,smoking cessation,1.25,1.16,1.33,Moderate,Web of Science
SR05144,Light situation interest interview food.,2025,NEJM,30,Children,carbapenem,placebo,infection rate,1.27,1.1,1.33,Low,LOVE
SR05145,Service near teach share return great.,2010,JAMA,61,Elderly,mRNA vaccine,placebo,hospitalization,1.79,1.53,1.93,Low,Web of Science
SR05146,View least store little road.,2002,PLOS ONE,52,Elderly,behavioral therapy,none,infection rate,1.56,1.35,1.84,Low,Web of Science
SR05147,Structure occur world course huge notice.,2018,BMJ,40,Diabetics,behavioral therapy,low dose,smoking cessation,1.13,0.95,1.2,Critically Low,Scopus
SR05148,Book community home best.,2021,PLOS ONE,70,Elderly,statins,standard care,mortality,1.91,1.65,2.21,High,Cochrane
SR05149,Structure occur we.,2015,Lancet,89,Diabetics,carbapenem,placebo,infection rate,1.43,1.3,1.68,High,Cochrane
SR05150,Camera exist practice woman mission.,2004,BMJ,80,Pregnant women,carbapenem,cephalosporin,mortality,1.86,1.63,2.1,Moderate,Web of Science
SR05151,Former night stock data six.,2025,Nature,14,Children,carbapenem,cephalosporin,weight loss,1.68,1.6,1.87,Moderate,Embase
SR05152,Boy time beautiful kind owner party federal.,2018,JAMA,56,Pregnant women,carbapenem,low dose,mortality,0.55,0.26,0.6,Moderate,Ovid
SR05153,Movie turn seek another discover.,2005,Lancet,13,Smokers,mRNA vaccine,low dose,infection rate,0.91,0.75,0.98,Critically Low,Web of Science
SR05154,Outside sport film boy.,2009,PLOS ONE,49,Diabetics,mRNA vaccine,no therapy,mortality,1.39,1.11,1.65,High,Web of Science
SR05155,Oil threat popular lay without certain police.,2010,NEJM,76,Diabetics,carbapenem,none,weight loss,1.71,1.43,1.91,Critically Low,Cochrane
SR05156,Reveal knowledge discuss medical consumer floor great sometimes.,2012,JAMA,57,Children,metformin,low dose,symptom reduction,0.84,0.64,1.13,Moderate,Embase
SR05157,Nothing phone treat particular summer represent truth movement.,2011,PLOS ONE,32,Pregnant women,ACE inhibitors,no therapy,hospitalization,1.11,0.86,1.18,Critically Low,Embase
SR05158,According somebody present wind high left.,2009,Science,71,Diabetics,behavioral therapy,low dose,mortality,0.68,0.55,0.9,Low,Embase
SR05159,Others key left everybody town last.,2015,PLOS ONE,86,Elderly,metformin,low dose,mortality,1.98,1.75,2.24,Moderate,Cochrane
SR05160,Hospital over difficult young central those camera.,2005,JAMA,68,ICU patients,carbapenem,none,mortality,1.37,1.08,1.65,High,PubMed
SR05161,Reach wind part.,2020,Lancet,60,Pregnant women,placebo,none,smoking cessation,0.58,0.51,0.73,High,Scopus
SR05162,Coach member skin which deal part.,2010,BMJ,80,Diabetics,mRNA vaccine,standard care,hospitalization,1.21,1.04,1.32,Critically Low,Ovid
SR05163,Professional her ability forget write probably.,2003,JAMA,16,Elderly,carbapenem,no therapy,symptom reduction,0.73,0.56,0.78,Moderate,Scopus
SR05164,Evening evidence sit challenge control.,2001,BMJ,44,Children,ACE inhibitors,standard care,symptom reduction,1.82,1.73,1.94,Low,Cochrane
SR05165,Respond mouth reason condition I hold often.,2004,JAMA,11,Children,mRNA vaccine,none,mortality,1.6,1.51,1.85,Critically Low,Embase
SR05166,Factor but bag.,2010,BMJ,29,Adults,carbapenem,standard care,mortality,1.89,1.6,2.12,High,Embase
SR05167,Amount theory herself source newspaper education present ten.,2016,Nature,82,Elderly,placebo,no therapy,mortality,0.7,0.48,1.0,Low,Embase
SR05168,Too serious yard simply high year.,2017,JAMA,89,Adults,metformin,none,infection rate,0.8,0.55,1.07,Moderate,PubMed
SR05169,Whether issue first weight cup think police.,2001,JAMA,40,Pregnant women,ACE inhibitors,none,smoking cessation,1.6,1.43,1.9,High,Embase
SR05170,Opportunity over these see create.,2025,Lancet,90,Smokers,ACE inhibitors,standard care,smoking cessation,1.89,1.64,2.14,High,Scopus
SR05171,Return budget human organization.,2000,Nature,43,Smokers,behavioral therapy,no therapy,smoking cessation,0.64,0.46,0.91,Moderate,Cochrane
SR05172,International tell red other.,2003,PLOS ONE,26,Adults,behavioral therapy,placebo,symptom reduction,1.11,0.98,1.16,Moderate,Ovid
SR05173,Short ever sign board hope.,2025,PLOS ONE,56,Pregnant women,mRNA vaccine,no therapy,symptom reduction,1.53,1.33,1.58,High,Embase
SR05174,Loss industry value among appear.,2014,JAMA,98,Children,ACE inhibitors,no therapy,smoking cessation,1.83,1.61,2.08,Moderate,PubMed
SR05175,Ready security head worker instead.,2001,NEJM,30,Adults,behavioral therapy,no therapy,symptom reduction,0.58,0.37,0.73,Critically Low,Cochrane
SR05176,South kind establish believe building able one practice.,2010,JAMA,24,Pregnant women,statins,low dose,smoking cessation,1.12,0.99,1.41,Low,PubMed
SR05177,Speak hot history main compare play pressure.,2004,JAMA,55,Diabetics,carbapenem,low dose,symptom reduction,0.71,0.52,0.79,Critically Low,Ovid
SR05178,Run according week mission.,2023,Nature,19,Adults,placebo,standard care,mortality,1.35,1.28,1.46,High,Scopus
SR05179,Hair hold bar movie note page movement.,2005,Science,27,ICU patients,mRNA vaccine,none,mortality,1.42,1.29,1.71,Low,Embase
SR05180,Hour scientist available pass manager to.,2024,NEJM,59,Pregnant women,carbapenem,none,infection rate,1.38,1.21,1.64,High,Cochrane
SR05181,My major put poor speech series.,2019,Nature,82,Adults,ACE inhibitors,standard care,smoking cessation,1.21,1.13,1.42,Low,Cochrane
SR05182,Fight detail senior heavy.,2003,Lancet,35,Smokers,statins,standard care,symptom reduction,1.88,1.6,1.97,High,PubMed
SR05183,Although quality young manage sort.,2008,NEJM,35,Smokers,statins,no therapy,mortality,1.23,1.11,1.43,High,Embase
SR05184,Race share in.,2000,NEJM,27,Children,behavioral therapy,low dose,infection rate,1.71,1.56,1.98,Moderate,Cochrane
SR05185,Pass wall appear show financial occur control.,2006,NEJM,27,ICU patients,ACE inhibitors,placebo,infection rate,1.12,0.99,1.32,High,Scopus
SR05186,Wonder deal physical quickly forward water common.,2023,NEJM,11,Adults,ACE inhibitors,standard care,weight loss,0.66,0.42,0.88,Critically Low,Ovid
SR05187,Police fact contain concern billion.,2020,Nature,10,Smokers,ACE inhibitors,placebo,infection rate,0.82,0.69,1.05,Low,Scopus
SR05188,Allow would agency describe risk happy company.,2005,Nature,42,Adults,behavioral therapy,no therapy,weight loss,1.61,1.33,1.89,Moderate,Ovid
SR05189,Beat entire rock crime summer.,2019,JAMA,47,Elderly,mRNA vaccine,standard care,weight loss,0.61,0.48,0.73,Moderate,Web of Science
SR05190,Feel spend type her foot.,2022,NEJM,14,ICU patients,carbapenem,no therapy,symptom reduction,0.72,0.45,1.01,Critically Low,Cochrane
SR05191,Far majority return operation increase company skill per.,2015,PLOS ONE,40,ICU patients,ACE inhibitors,no therapy,smoking cessation,1.58,1.41,1.78,High,Embase
SR05192,Campaign let provide thank travel too.,2020,PLOS ONE,83,ICU patients,carbapenem,no therapy,smoking cessation,1.44,1.16,1.65,High,Scopus
SR05193,Standard region issue tree memory wish.,2005,Lancet,68,Smokers,ACE inhibitors,cephalosporin,mortality,1.97,1.8,2.2,High,Web of Science
SR05194,Allow front study all something cup information.,2011,NEJM,29,Adults,ACE inhibitors,cephalosporin,hospitalization,1.34,1.07,1.63,Critically Low,Ovid
SR05195,Often better arrive level by even.,2006,Science,19,Diabetics,placebo,no therapy,mortality,1.94,1.8,2.09,High,LOVE
SR05196,Civil until vote article possible.,2021,BMJ,34,Smokers,placebo,none,weight loss,0.93,0.73,1.16,Low,Cochrane
SR05197,Lose actually world discover.,2021,Lancet,73,ICU patients,mRNA vaccine,low dose,smoking cessation,1.49,1.36,1.78,Critically Low,Cochrane
SR05198,Laugh ask scientist whether five clear question.,2024,Lancet,41,Diabetics,carbapenem,low dose,weight loss,0.83,0.55,0.9,Moderate,Web of Science
SR05199,Important the far present training different.,2004,Science,91,Elderly,statins,none,smoking cessation,1.47,1.35,1.64,Low,PubMed
SR05200,List consumer course force kid north.,2024,PLOS ONE,100,Adults,ACE inhibitors,none,weight loss,1.61,1.46,1.78,High,Cochrane
SR05201,Single mother put movie trouble.,2023,Nature,56,ICU patients,placebo,none,hospitalization,1.75,1.66,1.94,High,Embase
SR05202,Different study resource individual group population.,2024,BMJ,58,Diabetics,placebo,cephalosporin,infection rate,1.33,1.24,1.53,Low,Ovid
SR05203,Discussion worker use child contain wonder.,2017,JAMA,62,Elderly,metformin,no therapy,weight loss,0.62,0.56,0.79,Critically Low,Embase
SR05204,Various hard reason our color coach public.,2016,Nature,62,Children,behavioral therapy,cephalosporin,hospitalization,1.05,0.76,1.19,High,Web of Science
SR05205,Bit Mr interest word couple Mr.,2025,BMJ,78,Children,statins,standard care,infection rate,1.47,1.35,1.65,Critically Low,LOVE
SR05206,Protect ball television finish continue up glass.,2024,BMJ,68,Pregnant women,ACE inhibitors,placebo,mortality,1.14,1.03,1.38,Low,Cochrane
SR05207,Near trade million husband.,2002,PLOS ONE,72,ICU patients,placebo,no therapy,infection rate,0.6,0.52,0.67,Low,Scopus
SR05208,Specific poor different expert material kid.,2016,NEJM,86,Children,behavioral therapy,none,smoking cessation,0.61,0.39,0.89,Low,LOVE
SR05209,Experience sell join tax service between want boy.,2007,Lancet,97,Diabetics,carbapenem,placebo,symptom reduction,1.86,1.75,2.06,Low,LOVE
SR05210,Team new season relate.,2025,BMJ,77,ICU patients,statins,standard care,hospitalization,1.24,0.97,1.51,High,Embase
SR05211,Pass east radio event.,2017,BMJ,19,Children,behavioral therapy,none,weight loss,1.43,1.24,1.48,Critically Low,Web of Science
SR05212,Character without eight share decide.,2008,Lancet,55,Pregnant women,statins,standard care,infection rate,1.75,1.5,1.9,High,Cochrane
SR05213,Throw support admit test.,2022,BMJ,95,Adults,carbapenem,standard care,mortality,1.19,1.09,1.39,Moderate,LOVE
SR05214,North history art pattern hundred daughter.,2022,BMJ,20,Elderly,statins,none,infection rate,1.08,0.85,1.2,Critically Low,Cochrane
SR05215,Left parent simple reason become.,2025,Lancet,40,Smokers,statins,cephalosporin,symptom reduction,0.71,0.47,0.79,Moderate,Scopus
SR05216,Right carry me similar gun task company.,2022,Nature,67,Pregnant women,ACE inhibitors,low dose,weight loss,0.89,0.79,1.17,Moderate,LOVE
SR05217,Store responsibility involve like home throw administration.,2023,Nature,46,Pregnant women,placebo,low dose,weight loss,0.69,0.4,0.88,Low,Embase
SR05218,Deal organization interesting strategy know lay.,2009,Lancet,58,Smokers,statins,none,smoking cessation,1.08,0.82,1.19,Low,Cochrane
SR05219,Occur describe service no information son event.,2019,PLOS ONE,72,ICU patients,statins,placebo,smoking cessation,1.45,1.24,1.67,Critically Low,PubMed
SR05220,Study west college.,2017,Nature,73,Smokers,statins,none,hospitalization,0.67,0.57,0.91,Critically Low,Scopus
SR05221,Sometimes yes state certainly.,2022,Lancet,72,Smokers,carbapenem,standard care,hospitalization,0.75,0.51,0.82,High,Embase
SR05222,Our short never last member trouble.,2002,Nature,32,ICU patients,behavioral therapy,cephalosporin,infection rate,0.88,0.82,1.13,Low,PubMed
SR05223,Tell suggest family enjoy from.,2006,Lancet,88,Elderly,carbapenem,standard care,hospitalization,0.86,0.76,0.94,Low,Embase
SR05224,Institution wife participant teacher morning answer determine.,2011,Nature,54,Children,placebo,standard care,smoking cessation,1.79,1.55,1.91,Critically Low,Scopus
SR05225,Gas property born sing stock range.,2011,Lancet,52,Pregnant women,ACE inhibitors,standard care,mortality,0.51,0.29,0.68,Critically Low,Cochrane
SR05226,Brother best interview as key.,2006,JAMA,12,Children,carbapenem,none,smoking cessation,1.81,1.74,2.01,Critically Low,Web of Science
SR05227,Near wall religious south.,2001,Science,10,Elderly,ACE inhibitors,cephalosporin,symptom reduction,1.87,1.78,2.06,Moderate,Web of Science
SR05228,Take relate animal challenge.,2000,Science,24,Elderly,placebo,placebo,smoking cessation,1.72,1.5,1.93,High,Web of Science
SR05229,Authority table wish game significant note.,2019,Nature,83,Pregnant women,statins,cephalosporin,mortality,0.68,0.41,0.74,High,Scopus
SR05230,Property check one number.,2013,NEJM,41,Pregnant women,statins,no therapy,weight loss,1.65,1.47,1.9,High,Ovid
SR05231,Learn hard yes detail power occur agreement.,2010,JAMA,21,Smokers,statins,none,smoking cessation,1.27,1.05,1.4,Critically Low,Scopus
SR05232,Development wife gas speech hour society.,2018,NEJM,81,Elderly,ACE inhibitors,none,symptom reduction,0.93,0.85,1.08,Moderate,Embase
SR05233,Recently large run ever entire bank together.,2010,NEJM,100,Diabetics,carbapenem,placebo,symptom reduction,0.55,0.5,0.67,High,Web of Science
SR05234,Case none film smile.,2000,Science,70,Diabetics,statins,standard care,symptom reduction,1.08,0.98,1.23,Low,Cochrane
SR05235,Cell reality those common.,2018,Lancet,85,Elderly,placebo,none,weight loss,1.19,1.03,1.28,Critically Low,Embase
SR05236,Tax purpose trip authority food.,2018,NEJM,41,Adults,statins,no therapy,symptom reduction,1.82,1.53,1.9,Critically Low,Web of Science
SR05237,Suddenly behavior laugh and.,2010,BMJ,32,ICU patients,statins,placebo,weight loss,0.75,0.67,0.99,Critically Low,LOVE
SR05238,Run cover safe consider push religious western.,2020,Nature,82,Elderly,behavioral therapy,no therapy,mortality,1.28,1.08,1.35,High,Embase
SR05239,Tax force technology shake stage exist choose.,2024,Science,10,Diabetics,carbapenem,placebo,infection rate,1.56,1.39,1.82,High,Embase
SR05240,Up TV pass room.,2009,Science,46,Pregnant women,mRNA vaccine,low dose,symptom reduction,1.37,1.23,1.67,Moderate,PubMed
SR05241,Authority early outside level likely difficult.,2019,PLOS ONE,46,Elderly,behavioral therapy,placebo,smoking cessation,0.64,0.58,0.82,Low,Embase
SR05242,Spend throughout network they away of.,2009,JAMA,34,Pregnant women,placebo,none,symptom reduction,1.96,1.71,2.05,Critically Low,LOVE
SR05243,Place tell level several Democrat else.,2025,Lancet,31,Pregnant women,statins,low dose,infection rate,0.99,0.79,1.09,Critically Low,Scopus
SR05244,Outside specific finally public the floor base conference.,2006,Science,43,Elderly,mRNA vaccine,standard care,symptom reduction,1.17,1.11,1.38,High,Embase
SR05245,Stuff fall small brother.,2010,NEJM,19,Smokers,behavioral therapy,placebo,symptom reduction,0.59,0.46,0.78,Moderate,Cochrane
SR05246,Toward stand reality right side wide evening.,2003,PLOS ONE,22,Diabetics,statins,placebo,symptom reduction,1.23,1.18,1.31,Critically Low,Cochrane
